State,Location Code,Education,Gender,Coverage,EmploymentStatus,Marital Status,Renew Offer Type,Vehicle Class,Vehicle Size,Policy,Policy Type,Sales Channel,Months Since Last Claim,Months Since Policy Inception,Income,Total Claim Amount,Monthly Premium Auto,Number of Open Complaints,Number of Policies,Customer Lifetime Value,Response
California,Suburban,College,F,Basic,Medical Leave,Married,Offer1,Sports Car,Large,Personal L3,Personal Auto,Branch,10,77,25370,489.6,102,0,2,11638.89947,Yes
Nevada,Urban,Bachelor,F,Extended,Employed,Divorced,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Call Center,10,70,68771,276.268778,96,0,2,22800.53543,No
California,Suburban,Bachelor,F,Basic,Unemployed,Single,Offer1,Two-Door Car,Medsize,Special L3,Special Auto,Web,35,52,0,350.4,73,3,5,4462.997006,Yes
Oregon,Rural,College,F,Basic,Employed,Married,Offer2,SUV,Medsize,Personal L3,Personal Auto,Branch,29,52,68562,228.498823,108,0,2,13151.83203,No
Arizona,Urban,High School or Below,M,Basic,Employed,Married,Offer2,Four-Door Car,Medsize,Personal L2,Personal Auto,Agent,21,28,36733,327.078047,71,0,2,14019.97546,No
Nevada,Urban,College,F,Basic,Employed,Married,Offer1,Two-Door Car,Medsize,Personal L2,Personal Auto,Agent,33,27,45768,191.934494,73,0,1,2931.155192,No
California,Suburban,Bachelor,F,Basic,Unemployed,Married,Offer2,Four-Door Car,Small,Personal L2,Personal Auto,Agent,34,47,0,307.2,64,0,7,4774.751709,No
Arizona,Urban,Master,M,Basic,Employed,Married,Offer1,Four-Door Car,Small,Personal L3,Personal Auto,Branch,13,76,63513,185.667213,70,0,2,8471.417471,No
Arizona,Rural,College,F,Basic,Employed,Married,Offer2,Four-Door Car,Large,Corporate L2,Corporate Auto,Call Center,19,19,58161,140.747286,68,0,5,5431.219117,No
Nevada,Suburban,College,F,Basic,Employed,Married,Offer2,Two-Door Car,Medsize,Corporate L3,Corporate Auto,Branch,20,13,83640,471.050488,70,0,4,5689.644114,No
California,Rural,Master,F,Extended,Unemployed,Married,Offer1,Two-Door Car,Medsize,Personal L2,Personal Auto,Agent,2,88,0,28.460568,96,0,1,3686.723847,No
California,Suburban,Bachelor,M,Basic,Unemployed,Married,Offer1,SUV,Large,Personal L1,Personal Auto,Call Center,35,68,0,700.349052,111,0,1,3992.583886,No
Washington,Suburban,High School or Below,M,Premium,Unemployed,Single,Offer3,Two-Door Car,Medsize,Personal L2,Personal Auto,Branch,13,29,0,499.2,104,0,1,3479.137523,No
Arizona,Rural,Master,M,Basic,Unemployed,Married,Offer4,Two-Door Car,Medsize,Personal L1,Personal Auto,Branch,8,11,0,3.468912,66,0,1,2502.637401,No
Nevada,Suburban,Bachelor,F,Extended,Employed,Divorced,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Agent,10,69,25820,393.6,82,0,1,3265.156348,Yes
California,Suburban,High School or Below,F,Extended,Unemployed,Married,Offer4,SUV,Medsize,Personal L3,Personal Auto,Agent,16,64,0,699.615192,121,0,1,4455.843406,No
California,Suburban,High School or Below,M,Basic,Employed,Single,Offer1,SUV,Medsize,Personal L2,Personal Auto,Branch,25,13,30366,484.8,101,2,3,7704.95848,No
Arizona,Suburban,College,M,Basic,Employed,Divorced,Offer4,Four-Door Car,Large,Personal L2,Personal Auto,Call Center,8,34,51789,336,70,0,1,2750.705045,No
Oregon,Suburban,Master,M,Extended,Unemployed,Single,Offer1,SUV,Small,Personal L3,Personal Auto,Agent,6,61,0,900,125,0,2,13024.13012,Yes
Oregon,Suburban,Bachelor,M,Basic,Retired,Divorced,Offer2,Four-Door Car,Medsize,Corporate L3,Corporate Auto,Web,13,24,18608,340.8,71,0,1,2538.62632,Yes
California,Rural,College,F,Basic,Employed,Married,Offer2,Two-Door Car,Medsize,Corporate L1,Corporate Auto,Agent,27,34,83758,106.591949,64,0,1,2585.955652,No
Nevada,Suburban,Master,F,Basic,Disabled,Divorced,Offer1,Four-Door Car,Small,Personal L2,Personal Auto,Agent,9,81,22886,312,65,0,3,5096.673223,Yes
California,Suburban,High School or Below,F,Extended,Retired,Divorced,Offer1,Four-Door Car,Large,Personal L2,Personal Auto,Agent,18,84,11828,571.479602,90,0,2,10083.48688,Yes
California,Rural,College,F,Basic,Employed,Married,Offer1,Four-Door Car,Medsize,Corporate L3,Corporate Auto,Branch,14,11,44762,114.51444,62,0,6,4943.386117,No
Nevada,Suburban,Bachelor,F,Premium,Unemployed,Married,Offer1,SUV,Small,Personal L3,Personal Auto,Call Center,12,60,0,1221.143438,175,0,1,6516.214888,No
Arizona,Rural,Bachelor,M,Basic,Employed,Married,Offer2,SUV,Medsize,Corporate L3,Corporate Auto,Agent,24,10,82664,133.425609,114,3,9,8838.085637,Yes
Oregon,Suburban,High School or Below,M,Premium,Unemployed,Single,Offer2,Four-Door Car,Medsize,Personal L2,Personal Auto,Branch,7,57,0,777.6,108,0,1,3810.238281,No
Arizona,Suburban,Bachelor,M,Basic,Unemployed,Single,Offer1,Four-Door Car,Medsize,Personal L1,Personal Auto,Branch,1,21,0,302.4,63,0,2,6334.466403,No
Washington,Rural,College,F,Basic,Employed,Married,Offer1,Four-Door Car,Large,Corporate L1,Corporate Auto,Agent,12,51,84978,166.77296,72,1,2,11665.09779,No
California,Suburban,Doctor,M,Extended,Employed,Divorced,Offer2,Sports Car,Medsize,Corporate L2,Corporate Auto,Agent,2,40,24164,657.6,137,0,5,10972.06778,Yes
California,Suburban,College,F,Extended,Unemployed,Married,Offer2,Four-Door Car,Medsize,Personal L3,Personal Auto,Web,5,10,0,488.910614,80,0,8,6006.963446,No
Washington,Rural,High School or Below,M,Basic,Employed,Single,Offer4,Two-Door Car,Medsize,Personal L1,Personal Auto,Agent,34,32,62777,101.288069,67,0,1,2656.713092,No
Arizona,Suburban,Bachelor,F,Basic,Disabled,Divorced,Offer1,Four-Door Car,Medsize,Personal L2,Personal Auto,Web,22,96,19864,352.394515,63,0,1,2359.423599,Yes
Arizona,Suburban,Bachelor,M,Basic,Employed,Single,Offer1,SUV,Medsize,Personal L2,Personal Auto,Call Center,17,61,44428,499.2,104,0,2,12036.62051,Yes
California,Suburban,Bachelor,F,Basic,Disabled,Divorced,Offer3,Sports Car,Medsize,Personal L1,Personal Auto,Web,15,93,21139,656.798232,113,0,5,8467.387317,No
California,Suburban,College,M,Extended,Unemployed,Single,Offer3,Four-Door Car,Medsize,Personal L3,Personal Auto,Branch,4,52,0,851.146266,88,0,2,9392.557553,No
California,Suburban,Bachelor,F,Basic,Medical Leave,Married,Offer1,Two-Door Car,Small,Personal L2,Personal Auto,Branch,29,57,11896,476.254583,69,0,5,5227.230377,No
Oregon,Suburban,Bachelor,M,Basic,Unemployed,Married,Offer2,Two-Door Car,Small,Personal L3,Personal Auto,Web,35,87,0,350.4,73,1,1,2693.75925,No
California,Suburban,High School or Below,M,Basic,Retired,Married,Offer3,Four-Door Car,Medsize,Personal L3,Personal Auto,Web,7,38,27972,292.8,61,0,1,2227.072755,Yes
California,Suburban,Doctor,M,Basic,Unemployed,Married,Offer3,Four-Door Car,Small,Personal L3,Personal Auto,Agent,26,98,0,624.711448,62,0,1,2326.864833,No
Oregon,Urban,High School or Below,F,Basic,Employed,Married,Offer2,SUV,Medsize,Personal L3,Personal Auto,Web,12,6,38399,368.890904,106,0,2,16794.31422,No
Arizona,Rural,High School or Below,F,Basic,Employed,Married,Offer3,Four-Door Car,Medsize,Personal L3,Personal Auto,Agent,19,13,20868,134.629643,63,0,8,5016.827946,No
Oregon,Rural,Bachelor,M,Basic,Employed,Single,Offer1,SUV,Medsize,Personal L2,Personal Auto,Web,30,49,49682,198.84453,101,0,3,7757.924239,No
California,Urban,Bachelor,F,Basic,Employed,Married,Offer2,SUV,Medsize,Personal L3,Personal Auto,Branch,2,74,79090,289.040734,107,0,3,8609.158215,Yes
Oregon,Urban,High School or Below,F,Extended,Employed,Single,Offer1,Sports Car,Medsize,Personal L3,Personal Auto,Call Center,1,75,81850,429.860895,132,0,1,5275.056933,No
Arizona,Suburban,High School or Below,M,Extended,Medical Leave,Married,Offer4,Four-Door Car,Large,Personal L3,Personal Auto,Branch,17,27,22906,519.883102,76,0,8,5746.32619,No
Washington,Suburban,College,M,Extended,Unemployed,Single,Offer1,Four-Door Car,Large,Personal L1,Personal Auto,Agent,15,85,0,398.4,83,1,1,2705.987629,No
Washington,Suburban,Bachelor,M,Extended,Employed,Single,Offer1,Two-Door Car,Medsize,Personal L3,Personal Auto,Call Center,12,1,37138,417.28389,83,2,9,6186.265217,No
Nevada,Suburban,Bachelor,F,Basic,Unemployed,Single,Offer1,Four-Door Car,Medsize,Personal L2,Personal Auto,Call Center,32,35,0,511.2,71,0,2,22445.28088,No
Oregon,Suburban,College,F,Extended,Employed,Single,Offer2,Two-Door Car,Large,Personal L3,Personal Auto,Agent,32,8,21024,450.129276,82,1,9,6277.844624,No
California,Suburban,High School or Below,M,Premium,Unemployed,Single,Offer1,Four-Door Car,Small,Personal L2,Personal Auto,Agent,25,80,0,741.6,103,0,9,7215.821106,No
Oregon,Rural,High School or Below,F,Extended,Employed,Divorced,Offer2,Four-Door Car,Medsize,Personal L3,Personal Auto,Web,3,37,77135,98.372265,84,3,8,6514.430592,No
Washington,Suburban,College,M,Basic,Unemployed,Divorced,Offer1,Sports Car,Medsize,Personal L2,Personal Auto,Agent,3,19,0,718.700718,109,0,2,34708.87261,No
Arizona,Suburban,Bachelor,M,Basic,Unemployed,Single,Offer1,SUV,Medsize,Corporate L3,Corporate Auto,Call Center,3,70,0,820.8,114,0,1,4216.19522,No
Oregon,Urban,Bachelor,F,Basic,Employed,Married,Offer1,SUV,Small,Personal L2,Personal Auto,Call Center,13,28,72845,463.000336,108,0,2,13158.37206,No
Oregon,Suburban,High School or Below,F,Basic,Employed,Divorced,Offer1,Four-Door Car,Small,Corporate L1,Corporate Auto,Agent,29,32,51622,355.2,74,0,1,2917.539465,No
Arizona,Suburban,Bachelor,M,Basic,Unemployed,Divorced,Offer1,Two-Door Car,Medsize,Special L2,Special Auto,Branch,25,79,0,292.8,61,0,2,6355.678846,No
Oregon,Suburban,Bachelor,F,Basic,Medical Leave,Married,Offer1,SUV,Medsize,Personal L2,Personal Auto,Agent,20,96,15616,547.2,114,1,2,13269.59942,No
Oregon,Suburban,High School or Below,F,Extended,Unemployed,Single,Offer2,Four-Door Car,Large,Personal L1,Personal Auto,Branch,31,25,0,590.4,82,0,8,5880.256499,No
Washington,Suburban,College,M,Extended,Retired,Married,Offer1,Four-Door Car,Medsize,Corporate L1,Corporate Auto,Agent,28,90,23091,460.8,96,5,5,5926.729379,Yes
Oregon,Suburban,Bachelor,F,Basic,Unemployed,Single,Offer1,Two-Door Car,Medsize,Personal L3,Personal Auto,Agent,7,8,0,482.4,67,3,3,4121.252137,No
Arizona,Suburban,Bachelor,F,Basic,Medical Leave,Married,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Call Center,11,76,22699,355.2,74,4,2,7956.152761,No
Washington,Suburban,Bachelor,M,Basic,Medical Leave,Divorced,Offer1,Four-Door Car,Medsize,Personal L2,Personal Auto,Agent,13,3,14072,511.2,71,0,2,24127.50402,Yes
California,Urban,High School or Below,F,Basic,Employed,Divorced,Offer3,Four-Door Car,Medsize,Personal L1,Personal Auto,Branch,0,41,81713,332.224293,74,0,2,26864.20332,No
California,Suburban,Bachelor,F,Basic,Employed,Married,Offer2,Luxury SUV,Medsize,Personal L3,Personal Auto,Call Center,26,46,56516,955.2,199,0,2,31934.62164,No
Oregon,Suburban,Bachelor,F,Basic,Unemployed,Single,Offer1,Four-Door Car,Medsize,Personal L2,Personal Auto,Branch,21,31,0,525.6,73,0,3,5132.684537,No
Arizona,Suburban,High School or Below,M,Basic,Employed,Married,Offer3,Four-Door Car,Medsize,Corporate L2,Corporate Auto,Web,11,44,26747,404.074203,61,0,3,4759.624343,No
Oregon,Suburban,College,F,Basic,Employed,Married,Offer2,Four-Door Car,Small,Personal L1,Personal Auto,Call Center,8,68,63422,355.922452,66,0,1,2637.942355,No
California,Suburban,High School or Below,F,Extended,Disabled,Married,Offer1,Two-Door Car,Small,Personal L3,Personal Auto,Agent,1,9,22081,451.670309,84,0,6,6503.397049,Yes
Oregon,Suburban,College,F,Basic,Unemployed,Single,Offer3,Luxury SUV,Medsize,Special L2,Special Auto,Agent,14,70,0,1296,180,0,4,12786.66898,No
Oregon,Urban,Bachelor,F,Extended,Employed,Divorced,Offer3,Four-Door Car,Large,Personal L3,Personal Auto,Branch,17,89,29698,215.884804,83,2,1,3147.973444,No
California,Urban,College,F,Basic,Medical Leave,Married,Offer1,Two-Door Car,Large,Personal L2,Personal Auto,Call Center,23,62,24518,241.656325,74,0,3,5618.485357,No
Arizona,Urban,College,M,Extended,Employed,Divorced,Offer2,Four-Door Car,Medsize,Special L1,Special Auto,Call Center,0,41,62873,207.75186,81,0,1,3230.576665,Yes
California,Suburban,Master,M,Extended,Employed,Married,Offer2,Four-Door Car,Medsize,Personal L1,Personal Auto,Call Center,26,99,28377,451.2,94,0,3,7434.675149,No
Oregon,Suburban,College,M,Basic,Disabled,Married,Offer1,SUV,Medsize,Personal L2,Personal Auto,Agent,0,81,21102,480,100,0,2,11714.78278,No
Oregon,Suburban,Bachelor,M,Basic,Unemployed,Single,Offer2,Two-Door Car,Medsize,Personal L3,Personal Auto,Agent,12,57,0,312,65,2,1,2009.772923,No
Nevada,Suburban,High School or Below,F,Extended,Unemployed,Married,Offer2,Four-Door Car,Medsize,Personal L3,Personal Auto,Agent,2,43,0,539.280951,88,0,3,6625.472768,No
California,Rural,Bachelor,M,Basic,Employed,Divorced,Offer1,SUV,Medsize,Personal L2,Personal Auto,Branch,8,86,81410,221.188327,119,0,7,9567.711298,No
Oregon,Suburban,High School or Below,F,Basic,Medical Leave,Married,Offer1,Two-Door Car,Small,Personal L3,Personal Auto,Web,18,59,27869,482.4,67,0,2,18474.71111,No
Arizona,Suburban,High School or Below,M,Premium,Employed,Single,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Agent,6,28,57449,494.4,103,0,2,12157.32992,Yes
Oregon,Rural,High School or Below,M,Basic,Employed,Married,Offer4,Four-Door Car,Medsize,Corporate L2,Corporate Auto,Branch,2,36,40901,13.628274,74,0,1,2956.358303,No
Nevada,Rural,High School or Below,M,Extended,Employed,Married,Offer2,Two-Door Car,Medsize,Personal L3,Personal Auto,Call Center,7,4,88701,171.830049,99,0,1,3963.394851,No
California,Suburban,Master,F,Extended,Employed,Married,Offer2,Sports Car,Large,Personal L1,Personal Auto,Agent,14,78,29365,657.6,137,0,7,10896.04838,No
California,Suburban,College,F,Extended,Unemployed,Single,Offer2,Four-Door Car,Medsize,Personal L3,Personal Auto,Web,26,33,0,393.6,82,0,3,6081.048248,No
Arizona,Suburban,Bachelor,F,Basic,Unemployed,Single,Offer3,SUV,Medsize,Personal L1,Personal Auto,Web,9,72,0,1060.310769,103,0,2,30141.61738,No
Oregon,Suburban,Bachelor,F,Basic,Employed,Married,Offer1,Four-Door Car,Small,Personal L1,Personal Auto,Agent,17,5,56455,350.4,73,2,8,5737.233278,No
California,Suburban,Bachelor,M,Basic,Employed,Divorced,Offer2,Two-Door Car,Small,Special L3,Special Auto,Call Center,25,56,35095,525.6,73,0,2,16979.79757,Yes
Oregon,Suburban,High School or Below,F,Premium,Unemployed,Single,Offer1,Sports Car,Medsize,Corporate L2,Corporate Auto,Call Center,9,62,0,1116,155,1,8,10915.35877,No
Oregon,Suburban,College,F,Extended,Employed,Married,Offer2,Two-Door Car,Small,Special L3,Special Auto,Agent,3,38,94903,451.2,94,0,1,3808.122147,Yes
Washington,Rural,Doctor,M,Basic,Employed,Married,Offer2,Four-Door Car,Medsize,Personal L3,Personal Auto,Agent,22,24,80192,95.193157,67,0,7,5408.911507,No
Oregon,Suburban,Master,M,Extended,Unemployed,Divorced,Offer1,SUV,Small,Personal L3,Personal Auto,Call Center,15,11,0,827.786203,122,0,2,13419.39623,No
California,Urban,Master,M,Extended,Employed,Married,Offer3,Four-Door Car,Medsize,Corporate L3,Corporate Auto,Agent,3,72,60244,326.281835,83,3,1,3237.996209,Yes
Arizona,Rural,College,F,Basic,Employed,Married,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Call Center,21,19,52735,123.512596,65,0,2,10357.62776,No
Arizona,Rural,High School or Below,F,Basic,Employed,Married,Offer4,Two-Door Car,Small,Personal L2,Personal Auto,Branch,12,36,78275,25.336642,72,0,2,11619.91802,No
Oregon,Suburban,Bachelor,F,Premium,Employed,Married,Offer1,Four-Door Car,Medsize,Corporate L2,Corporate Auto,Agent,8,54,77282,489.6,102,0,3,8209.054963,No
California,Suburban,College,F,Extended,Employed,Divorced,Offer1,Four-Door Car,Medsize,Personal L1,Personal Auto,Branch,14,28,21604,379.2,79,0,1,3096.511217,Yes
Arizona,Suburban,High School or Below,F,Extended,Employed,Married,Offer1,Sports Car,Medsize,Personal L2,Personal Auto,Branch,8,2,51962,788.206874,125,4,1,4804.35851,No
Oregon,Suburban,Bachelor,F,Basic,Unemployed,Single,Offer1,Four-Door Car,Small,Corporate L1,Corporate Auto,Agent,4,67,0,489.6,68,0,9,4786.054889,No
California,Suburban,Doctor,F,Basic,Employed,Married,Offer4,Luxury SUV,Medsize,Personal L3,Personal Auto,Call Center,30,47,56362,945.6,197,1,6,15886.03136,No
Arizona,Suburban,College,M,Basic,Employed,Married,Offer1,Four-Door Car,Small,Special L2,Special Auto,Branch,23,14,85753,316.8,66,1,8,5285.079293,No
Arizona,Suburban,High School or Below,F,Extended,Employed,Married,Offer4,Two-Door Car,Medsize,Personal L2,Personal Auto,Web,9,79,36167,364.8,76,3,1,2945.370362,No
Oregon,Suburban,Master,F,Extended,Employed,Married,Offer4,Luxury Car,Medsize,Personal L3,Personal Auto,Branch,5,28,68568,1070.4,223,1,6,18089.79629,No
California,Suburban,College,F,Extended,Employed,Married,Offer1,SUV,Medsize,Personal L3,Personal Auto,Branch,21,59,35482,619.2,129,0,3,10208.92761,Yes
Washington,Rural,High School or Below,M,Basic,Employed,Married,Offer4,Four-Door Car,Medsize,Corporate L3,Corporate Auto,Agent,12,68,92079,114.798771,65,1,2,20708.25881,No
Oregon,Suburban,Bachelor,M,Extended,Unemployed,Single,Offer1,Two-Door Car,Medsize,Personal L3,Personal Auto,Branch,0,84,0,554.4,77,0,3,5247.852585,No
California,Suburban,College,M,Premium,Unemployed,Single,Offer1,SUV,Large,Personal L2,Personal Auto,Agent,29,6,0,1188,165,2,1,5179.55248,No
California,Urban,Bachelor,F,Basic,Employed,Married,Offer1,SUV,Medsize,Personal L3,Personal Auto,Call Center,32,24,34558,376.529086,113,0,1,4513.435299,No
Nevada,Rural,Master,M,Basic,Medical Leave,Married,Offer3,Four-Door Car,Medsize,Personal L3,Personal Auto,Agent,11,44,14775,170.939409,69,0,5,5297.625945,No
California,Suburban,High School or Below,M,Basic,Employed,Married,Offer3,Four-Door Car,Medsize,Personal L1,Personal Auto,Branch,13,11,35637,326.4,68,0,9,5377.014781,No
Oregon,Urban,Bachelor,M,Extended,Employed,Married,Offer2,Two-Door Car,Medsize,Personal L2,Personal Auto,Call Center,3,60,66726,335.840529,97,1,7,7661.388132,No
California,Suburban,Bachelor,F,Basic,Unemployed,Married,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Branch,29,86,0,345.6,72,0,1,2677.279707,No
Oregon,Suburban,College,F,Extended,Unemployed,Divorced,Offer1,Four-Door Car,Small,Personal L2,Personal Auto,Web,25,71,0,460.8,96,0,6,6877.817669,No
California,Suburban,Doctor,F,Basic,Employed,Single,Offer1,Four-Door Car,Small,Personal L3,Personal Auto,Agent,12,87,79719,425.924132,71,0,6,5714.232848,No
Arizona,Suburban,Bachelor,M,Basic,Employed,Married,Offer2,Two-Door Car,Medsize,Corporate L3,Corporate Auto,Call Center,27,52,25632,351.270869,63,0,7,4929.549699,Yes
Oregon,Rural,College,F,Extended,Employed,Divorced,Offer2,Four-Door Car,Medsize,Personal L2,Personal Auto,Agent,22,93,61108,49.451117,89,0,2,10484.91535,Yes
California,Suburban,College,M,Extended,Unemployed,Single,Offer1,SUV,Medsize,Corporate L2,Corporate Auto,Branch,34,77,0,657.6,137,0,4,9490.406534,No
Arizona,Suburban,College,F,Basic,Retired,Divorced,Offer1,SUV,Small,Personal L2,Personal Auto,Agent,25,54,21073,508.8,106,1,3,7805.31287,Yes
Oregon,Suburban,Doctor,M,Extended,Medical Leave,Married,Offer2,Four-Door Car,Medsize,Personal L3,Personal Auto,Call Center,8,38,17932,379.2,79,0,2,21274.34205,No
Nevada,Urban,High School or Below,M,Basic,Employed,Married,Offer2,Four-Door Car,Large,Personal L3,Personal Auto,Agent,5,85,81082,281.295903,73,0,4,5838.89915,Yes
Oregon,Urban,High School or Below,F,Basic,Employed,Married,Offer2,Two-Door Car,Medsize,Personal L3,Personal Auto,Web,7,17,71684,196.065149,66,0,1,2677.495763,No
Oregon,Suburban,High School or Below,M,Basic,Employed,Single,Offer2,Two-Door Car,Small,Personal L2,Personal Auto,Call Center,8,48,57338,292.8,61,0,1,2374.798861,No
Arizona,Suburban,College,M,Basic,Unemployed,Married,Offer1,SUV,Medsize,Personal L2,Personal Auto,Branch,35,48,0,489.6,102,0,2,22103.5072,Yes
Oregon,Suburban,College,M,Basic,Employed,Married,Offer4,Four-Door Car,Small,Corporate L2,Corporate Auto,Agent,4,13,24409,297.6,62,0,1,2427.770513,No
California,Suburban,High School or Below,F,Extended,Employed,Married,Offer4,Four-Door Car,Large,Personal L2,Personal Auto,Agent,14,20,83488,432.784577,90,0,3,7294.40195,No
Washington,Suburban,High School or Below,M,Premium,Unemployed,Married,Offer2,Two-Door Car,Small,Corporate L1,Corporate Auto,Branch,29,7,0,773.346065,104,0,2,11360.46496,No
California,Suburban,Master,F,Basic,Employed,Divorced,Offer1,Two-Door Car,Medsize,Personal L2,Personal Auto,Branch,19,64,62537,354.199664,71,1,1,2811.956395,No
Washington,Suburban,College,M,Basic,Retired,Single,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Agent,28,22,10621,321.6,67,0,5,4386.277558,Yes
Arizona,Suburban,Bachelor,F,Extended,Employed,Married,Offer1,Four-Door Car,Medsize,Personal L1,Personal Auto,Branch,27,79,43478,384,80,0,9,6446.918637,No
Oregon,Suburban,Bachelor,F,Extended,Employed,Divorced,Offer1,Luxury SUV,Medsize,Corporate L3,Corporate Auto,Agent,4,21,46503,1032,215,1,1,8427.172486,Yes
Oregon,Suburban,High School or Below,F,Basic,Employed,Divorced,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Branch,8,91,27179,344.201601,66,0,9,5290.127299,No
California,Suburban,College,F,Basic,Employed,Divorced,Offer3,Two-Door Car,Medsize,Personal L2,Personal Auto,Agent,13,26,62229,336,70,0,5,5592.455266,No
Arizona,Suburban,Bachelor,F,Extended,Unemployed,Single,Offer1,Two-Door Car,Large,Personal L2,Personal Auto,Call Center,34,39,0,441.6,92,1,2,18892.19767,No
Oregon,Urban,College,M,Extended,Employed,Single,Offer1,SUV,Medsize,Personal L2,Personal Auto,Web,1,85,67060,339.000467,126,4,2,13623.62257,No
Oregon,Suburban,College,F,Extended,Retired,Single,Offer1,Four-Door Car,Small,Personal L3,Personal Auto,Branch,1,66,13663,465.6,97,0,2,25464.82059,Yes
California,Suburban,High School or Below,F,Basic,Unemployed,Single,Offer2,Four-Door Car,Medsize,Personal L3,Personal Auto,Branch,5,79,0,453.6,63,0,1,2175.624856,No
Arizona,Suburban,Bachelor,F,Extended,Unemployed,Single,Offer1,Four-Door Car,Medsize,Corporate L1,Corporate Auto,Call Center,21,35,0,699.67536,99,1,4,6699.222525,No
California,Suburban,Bachelor,F,Basic,Employed,Divorced,Offer1,Sports Car,Medsize,Personal L3,Personal Auto,Branch,10,64,97745,695.136477,113,0,5,9043.678095,No
Oregon,Rural,High School or Below,F,Premium,Employed,Single,Offer3,Two-Door Car,Medsize,Personal L3,Personal Auto,Agent,1,76,26026,283.670312,116,1,1,4369.041685,No
California,Rural,College,F,Premium,Employed,Single,Offer1,SUV,Large,Personal L2,Personal Auto,Web,3,47,72794,50.454459,164,1,2,51337.90677,No
Oregon,Rural,College,F,Extended,Employed,Divorced,Offer3,Four-Door Car,Medsize,Personal L3,Personal Auto,Call Center,12,52,47730,219.440024,91,0,2,28699.89392,No
Arizona,Suburban,College,M,Extended,Unemployed,Married,Offer2,SUV,Medsize,Personal L2,Personal Auto,Agent,27,2,0,725.870693,122,0,1,4270.034394,Yes
Washington,Suburban,Bachelor,F,Basic,Unemployed,Married,Offer1,Four-Door Car,Medsize,Personal L3,Personal Auto,Agent,6,67,0,345.6,72,0,8,5345.994644,No
Oregon,Suburban,Bachelor,F,Basic,Unemployed,Single,Offer1,Four-Door Car,Medsize,Personal L1,Personal Auto,Call Center,20,81,0,336,70,0,9,4774.747415,No
Oregon,Urban,Doctor,F,Basic,Employed,Single,Offer1,Two-Door Car,Medsize,Personal L1,Personal Auto,Call Center,35,36,97785,236.614219,73,0,2,14727.50526,No
California,Suburban,High School or Below,F,Basic,Unemployed,Single,Offer2,Four-Door Car,Medsize,Personal L2,Personal Auto,Branch,27,89,0,712.309237,66,0,3,4755.47946,No
Washington,Rural,Doctor,M,Extended,Employed,Divorced,Offer2,Four-Door Car,Medsize,Corporate L2,Corporate Auto,Branch,25,43,30817,91.834668,88,0,1,3436.134281,Yes
California,Rural,College,F,Basic,Employed,Married,Offer2,Two-Door Car,Medsize,Personal L3,Personal Auto,Call Center,22,49,64502,39.336222,70,0,2,8355.774443,No
California,Urban,Bachelor,M,Extended,Employed,Married,Offer3,Four-Door Car,Medsize,Corporate L3,Corporate Auto,Agent,17,42,30335,326.132867,87,0,1,3412.566597,No
Oregon,Rural,Master,M,Extended,Employed,Divorced,Offer4,Four-Door Car,Medsize,Corporate L2,Corporate Auto,Branch,1,36,21020,178.371281,80,0,4,6185.337641,No
California,Rural,College,F,Basic,Employed,Divorced,Offer1,Four-Door Car,Medsize,Special L2,Special Auto,Call Center,13,75,84574,167.459769,70,0,2,8456.722498,No
Washington,Suburban,Bachelor,F,Extended,Unemployed,Single,Offer1,Two-Door Car,Medsize,Personal L1,Personal Auto,Branch,26,37,0,700.725788,84,0,1,3021.938522,No
Oregon,Urban,Master,F,Extended,Unemployed,Married,Offer2,Four-Door Car,Large,Personal L3,Personal Auto,Branch,28,3,0,436.143226,93,0,8,6966.142868,No
Oregon,Suburban,High School or Below,F,Extended,Retired,Divorced,Offer1,Four-Door Car,Large,Corporate L1,Corporate Auto,Agent,18,84,11828,571.479602,90,0,2,10083.48688,Yes
Arizona,Suburban,College,F,Basic,Employed,Married,Offer2,Four-Door Car,Medsize,Personal L2,Personal Auto,Call Center,32,94,54889,302.4,63,0,1,2539.990699,No
Oregon,Urban,College,F,Basic,Employed,Married,Offer1,SUV,Medsize,Personal L2,Personal Auto,Branch,15,72,89918,367.230882,105,0,9,8456.455313,No
California,Rural,Bachelor,M,Premium,Employed,Married,Offer1,Two-Door Car,Medsize,Personal L2,Personal Auto,Call Center,27,30,87002,199.851173,110,0,2,26576.31541,No
Oregon,Suburban,High School or Below,M,Premium,Employed,Divorced,Offer1,Luxury SUV,Medsize,Corporate L2,Corporate Auto,Agent,33,91,55687,1324.8,276,0,1,10963.95723,Yes
Oregon,Suburban,Bachelor,M,Extended,Disabled,Married,Offer1,Two-Door Car,Small,Personal L3,Personal Auto,Branch,24,29,17103,417.6,87,0,2,9671.98323,No
Arizona,Suburban,College,F,Basic,Unemployed,Single,Offer3,Two-Door Car,Small,Personal L3,Personal Auto,Agent,17,20,0,702.020904,70,5,1,1898.683686,No
